sale_id,product_id,customer_id,quantity_sold,sale_amount,sale_date,region,unit_price,total_sale_amount
115,113,241,2,50,24-08-2024,South,25,50
116,113,224,4,100,17-05-2024,North,25,100
117,103,284,3,720,26-03-2024,West,240,720
118,105,281,5,2000,03-09-2024,North,400,2000
119,114,226,1,150,20-11-2024,North,150,150
120,106,298,10,3500,12-05-2024,East,350,3500
121,102,262,2,600,26-03-2024,North,300,600
122,106,296,3,1050,15-10-2024,East,350,1050
123,109,278,6,120,30-03-2024,East,20,120
124,110,271,4,200,10-08-2024,East,50,200
125,111,290,10,800,09-02-2024,West,80,800
126,107,281,9,1800,09-12-2024,South,200,1800
127,115,218,10,300,05-09-2024,South,30,300
128,102,218,1,300,25-08-2024,South,300,300
129,115,248,10,300,08-06-2024,West,30,300
130,115,263,6,180,12-09-2024,West,30,180
131,103,285,4,960,05-06-2024,South,240,960
132,107,270,8,1600,14-06-2024,West,200,1600
133,103,237,7,1680,03-10-2024,South,240,1680
134,104,220,6,600,30-05-2024,North,100,600
135,115,273,1,30,21-08-2024,East,30,30
136,106,214,6,2100,29-09-2024,South,350,2100
137,115,281,3,90,13-06-2024,West,30,90
138,109,209,8,160,12-06-2024,West,20,160
139,105,211,10,4000,02-08-2024,West,400,4000
140,102,282,1,300,09-10-2024,North,300,300
141,102,223,8,2400,15-11-2024,South,300,2400
142,105,257,5,2000,01-09-2024,North,400,2000
143,109,218,10,200,05-10-2024,North,20,200
144,111,201,6,480,13-03-2024,North,80,480
145,113,233,10,250,21-03-2024,South,25,250
146,102,269,3,900,30-12-2024,North,300,900
147,108,241,3,1800,22-12-2024,North,600,1800
148,113,230,2,50,12-12-2024,East,25,50
149,113,224,3,75,25-03-2024,East,25,75
150,109,204,5,100,13-10-2024,North,20,100
151,113,214,8,200,31-01-2024,North,25,200
152,108,221,5,3000,27-02-2024,South,600,3000
153,114,207,7,1050,04-01-2025,North,150,1050
154,110,247,10,500,27-07-2024,North,50,500
155,104,227,9,900,07-02-2024,South,100,900
156,102,269,8,2400,03-05-2024,North,300,2400
157,115,290,5,150,19-07-2024,West,30,150
158,101,290,5,1250,12-05-2024,South,250,1250
159,108,279,9,5400,22-02-2024,East,600,5400
160,105,251,5,2000,02-12-2024,West,400,2000
161,111,225,2,160,14-03-2024,North,80,160
162,107,298,10,2000,22-11-2024,South,200,2000
163,107,241,2,400,08-05-2024,East,200,400
164,115,203,9,270,20-07-2024,North,30,270
165,105,269,1,400,11-09-2024,West,400,400
166,115,274,2,60,08-05-2024,West,30,60
167,113,236,4,100,23-07-2024,North,25,100
168,101,208,6,1500,15-10-2024,South,250,1500
169,104,261,3,300,26-12-2024,West,100,300
170,115,283,3,90,02-11-2024,North,30,90
171,114,292,1,150,29-08-2024,North,150,150
172,106,252,1,350,14-04-2024,South,350,350
173,110,210,7,350,25-01-2024,West,50,350
174,115,234,10,300,05-09-2024,East,30,300
175,105,262,8,3200,31-08-2024,North,400,3200
176,103,253,4,960,13-12-2024,South,240,960
177,108,224,9,5400,20-09-2024,East,600,5400
178,104,296,5,500,25-04-2024,West,100,500
179,101,206,4,1000,04-05-2024,East,250,1000
180,115,224,3,90,04-09-2024,South,30,90
181,112,270,2,200,15-07-2024,North,100,200
182,111,243,3,240,29-02-2024,North,80,240
183,106,239,2,700,11-09-2024,West,350,700
184,111,284,6,480,04-11-2024,South,80,480
185,105,210,9,3600,04-06-2024,South,400,3600
186,112,204,4,400,17-11-2024,West,100,400
187,110,261,2,100,07-02-2024,West,50,100
188,107,272,3,600,12-05-2024,South,200,600
189,106,251,4,1400,26-05-2024,West,350,1400
190,115,287,1,30,21-05-2024,East,30,30
191,113,208,10,250,07-04-2024,North,25,250
192,103,252,6,1440,10-04-2024,East,240,1440
193,114,213,1,150,26-10-2024,East,150,150
194,102,283,5,1500,17-06-2024,South,300,1500
195,102,245,10,3000,13-04-2024,South,300,3000
196,106,286,10,3500,12-08-2024,West,350,3500
197,114,287,10,1500,24-10-2024,North,150,1500
198,111,236,9,720,01-12-2024,South,80,720
199,112,215,2,200,13-05-2024,South,100,200
200,108,245,1,600,18-08-2024,North,600,600
201,112,252,4,400,13-05-2024,East,100,400
202,106,224,1,350,28-09-2024,South,350,350
203,102,203,4,1200,01-07-2024,South,300,1200
204,115,252,8,240,18-09-2024,South,30,240
205,115,270,3,90,30-06-2024,South,30,90
206,107,201,3,600,17-10-2024,West,200,600
207,115,272,5,150,13-12-2024,North,30,150
208,116,212,4,200,24-11-2024,West,50,200
209,101,232,6,1500,22-01-2024,South,250,1500
210,107,229,3,600,12-06-2024,East,200,600
211,113,269,1,25,19-01-2025,West,25,25
212,104,243,5,500,08-04-2024,West,100,500
213,102,210,9,2700,02-12-2024,West,300,2700
214,107,216,8,1600,27-05-2024,West,200,1600
215,114,230,2,300,29-07-2024,West,150,300
216,114,277,8,1200,31-12-2024,South,150,1200
217,104,249,8,800,18-01-2025,North,100,800
218,111,226,10,800,20-12-2024,South,80,800
219,103,282,10,2400,03-12-2024,East,240,2400
220,116,212,7,350,13-06-2024,West,50,350
221,108,222,7,4200,04-03-2024,South,600,4200
222,107,255,2,400,18-07-2024,East,200,400
223,115,210,5,150,04-07-2024,South,30,150
224,107,296,3,600,06-05-2024,East,200,600
225,104,208,7,700,22-02-2024,South,100,700
226,104,261,7,700,30-09-2024,South,100,700
227,102,209,7,2100,19-05-2024,South,300,2100
228,106,296,10,3500,24-05-2024,West,350,3500
229,110,283,6,300,11-01-2025,West,50,300
230,113,217,9,225,22-02-2024,South,25,225
231,105,260,6,2400,09-12-2024,East,400,2400
232,102,258,4,1200,27-07-2024,North,300,1200
233,102,297,2,600,24-02-2024,East,300,600
234,105,258,7,2800,28-06-2024,East,400,2800
235,107,250,10,2000,27-07-2024,West,200,2000
236,113,262,3,75,29-01-2024,North,25,75
237,106,261,7,2450,17-11-2024,South,350,2450
238,107,295,10,2000,30-05-2024,West,200,2000
239,104,263,4,400,29-08-2024,West,100,400
240,106,233,3,1050,29-01-2024,East,350,1050
241,102,240,9,2700,21-12-2024,North,300,2700
242,102,215,3,900,18-07-2024,East,300,900
243,106,234,10,3500,21-07-2024,South,350,3500
244,115,231,3,90,20-12-2024,East,30,90
245,103,254,4,960,22-01-2024,West,240,960
246,115,221,6,180,12-12-2024,North,30,180
247,109,287,9,180,17-03-2024,North,20,180
248,110,296,8,400,20-09-2024,South,50,400
249,101,274,1,250,20-10-2024,West,250,250
250,103,210,9,2160,14-06-2024,West,240,2160
251,103,219,4,960,11-09-2024,East,240,960
252,115,297,3,90,31-08-2024,North,30,90
253,108,242,8,4800,01-09-2024,North,600,4800
254,110,269,1,50,09-08-2024,North,50,50
255,106,270,6,2100,09-12-2024,East,350,2100
256,105,291,4,1600,26-12-2024,South,400,1600
257,109,207,10,200,12-09-2024,South,20,200
258,105,285,10,4000,03-02-2024,East,400,4000
259,106,201,6,2100,18-02-2024,West,350,2100
260,116,217,2,100,08-12-2024,South,50,100
261,114,246,8,1200,23-05-2024,North,150,1200
262,113,246,8,200,07-12-2024,East,25,200
263,113,285,3,75,31-07-2024,South,25,75
264,107,217,9,1800,10-09-2024,West,200,1800
265,113,282,2,50,09-05-2024,South,25,50
266,111,292,9,720,25-12-2024,East,80,720
267,101,202,3,750,27-04-2024,West,250,750
268,113,220,8,200,04-05-2024,East,25,200
269,106,207,6,2100,14-07-2024,West,350,2100
270,101,271,3,750,04-04-2024,North,250,750
271,102,260,2,600,03-02-2024,East,300,600
272,112,268,7,700,06-03-2024,North,100,700
273,114,260,2,300,28-11-2024,South,150,300
274,107,249,2,400,13-08-2024,West,200,400
275,107,286,3,600,03-10-2024,East,200,600
276,101,257,2,500,31-07-2024,South,250,500
277,101,238,6,1500,28-08-2024,North,250,1500
278,101,204,7,1750,25-05-2024,South,250,1750
279,104,213,7,700,10-03-2024,South,100,700
280,115,295,10,300,26-01-2024,East,30,300
281,115,283,3,90,16-02-2024,North,30,90
282,107,295,8,1600,30-05-2024,West,200,1600
283,101,267,8,2000,08-03-2024,South,250,2000
284,112,238,8,800,02-12-2024,North,100,800
285,107,290,9,1800,26-09-2024,West,200,1800
286,101,204,8,2000,28-03-2024,East,250,2000
287,107,276,5,1000,17-06-2024,North,200,1000
288,116,258,9,450,16-07-2024,West,50,450
289,105,252,2,800,18-08-2024,North,400,800
290,103,253,5,1200,22-01-2024,South,240,1200
291,103,297,6,1440,11-05-2024,South,240,1440
292,102,204,1,300,03-10-2024,South,300,300
293,105,215,5,2000,14-08-2024,East,400,2000
294,101,276,6,1500,21-04-2024,North,250,1500
295,102,248,5,1500,16-01-2025,West,300,1500
296,113,292,9,225,27-08-2024,North,25,225
297,114,241,8,1200,04-04-2024,North,150,1200
298,102,251,5,1500,29-04-2024,North,300,1500
299,112,213,5,500,06-11-2024,South,100,500
300,101,267,5,1250,13-03-2024,North,250,1250
